authority-code,corporate_body_classification,name
EAEC,CB_EU,European Atomic Energy Community
EURUN,CB_EU,European Union
COM,EU_INST,European Commission
EP,EU_INST,European Parliament
EURCOU,EU_INST,European Council
CONSIL,EU_INST,Council of the European Union
ECB,EU_INST,European Central Bank
EIB,EU_BODY,European Investment Bank
EIF,EU_BODY,European Investment Fund
CJ,EU_INST,Court of Justice
CURIA,EU_INST,Court of Justice of the European Union
GCEU,EU_INST,General Court
ECA,EU_INST,European Court of Auditors
EEAS,EU_BODY,European External Action Service
HRUFASP,EU_BODY,High Representative of the Union
EESC,EU_BODY,European Economic and Social Committee
OMB,EU_BODY,European Ombudsman
EDPS,EU_BODY,European Data Protection Supervisor
EPSO,EU_INTERINSTSERV,European Personnel Selection Office
CDT,AGENCY_DEC,Translation Centre
CEDEFOP,AGENCY_DEC,Cedefop
CPVO,AGENCY_DEC,Community Plant Variety Office
OSHA,AGENCY_DEC,European Agency for Safety and Health at Work
ECDC,AGENCY_DEC,European Centre for Disease Prevention and Control
ECHA,AGENCY_DEC,European Chemicals Agency
EDA,AGENCY_CFSP,European Defence Agency
EFSA,AGENCY_DEC,European Food Safety Authority
EGSA,AGENCY_DEC,European GNSS Agency
EUROFOUND,AGENCY_DEC,Eurofound
EIGE,AGENCY_DEC,European Institute for Gender Equality
EMSA,AGENCY_DEC,European Maritime Safety Agency
EEA,AGENCY_DEC,European Environment Agency
EMEA,AGENCY_DEC,European Medicines Agency
EMCDDA,AGENCY_DEC,European Monitoring Centre for Drugs and Drug Addiction
ETF,AGENCY_DEC,European Training Foundation
FRA,AGENCY_DEC,European Union Agency for Fundamental Rights
EUISS,AGENCY_CFSP,European Union Institute for Security Studies
EUSC,AGENCY_CFSP,European Union Satellite Centre
EACEA,AGENCY_EXEC,"Education, Audiovisual and Culture Executive Agency"
ERC,AGENCY_EXEC,European Research Council Executive Agency
REA,AGENCY_EXEC,Research Executive Agency
EURATOM,AGENCY_EURATOM,Euratom Supply Agency
FUSEN,AGENCY_EURATOM,Fusion for Energy Joint Undertaking
EIT,AGENCY_OTHER,European Institute of Innovation and Technology
EASO,AGENCY_DEC,European Asylum Support Office
EURAG,CB_EU,EU body or agency
PUBL,EU_INTERINSTSERV,Publications Office
MARE,DIR_GEN,Directorate-General for Maritime Affairs and Fisheries
ENER,DIR_GEN,Directorate-General for Energy
MOVE,DIR_GEN,Directorate-General for Mobility and Transport
ENV,DIR_GEN,Directorate-General for Environment
CLIMA,DIR_GEN,Directorate-General for Climate Action
COMMU,DIR_GEN,Directorate-General for Communication
