authority-code,name,corporate_body_classification
EAEC,European Atomic Energy Community,CB_EU
EURUN,European Union,CB_EU
COM,European Commission,EU_INST
EP,European Parliament,EU_INST
EURCOU,European Council,EU_INST
CONSIL,Council of the European Union,EU_INST
ECB,European Central Bank,EU_INST
EIB,European Investment Bank,EU_BODY
EIF,European Investment Fund,EU_BODY
CJ,Court of Justice,EU_INST
CURIA,Court of Justice of the European Union,EU_INST
GCEU,General Court,EU_INST
ECA,European Court of Auditors,EU_INST
EEAS,European External Action Service,EU_BODY
HRUFASP,High Representative of the Union,EU_BODY
EESC,European Economic and Social Committee,EU_BODY
OMB,European Ombudsman,EU_BODY
EDPS,European Data Protection Supervisor,EU_BODY
EPSO,European Personnel Selection Office,EU_INTERINSTSERV
CDT,Translation Centre,AGENCY_DEC
CEDEFOP,Cedefop,AGENCY_DEC
CPVO,Community Plant Variety Office,AGENCY_DEC
OSHA,European Agency for Safety and Health at Work,AGENCY_DEC
ECDC,European Centre for Disease Prevention and Control,AGENCY_DEC
ECHA,European Chemicals Agency,AGENCY_DEC
EDA,European Defence Agency,AGENCY_CFSP
EFSA,European Food Safety Authority,AGENCY_DEC
EGSA,European GNSS Agency,AGENCY_DEC
EUROFOUND,Eurofound,AGENCY_DEC
EIGE,European Institute for Gender Equality,AGENCY_DEC
EMSA,European Maritime Safety Agency,AGENCY_DEC
EEA,European Environment Agency,AGENCY_DEC
EMEA,European Medicines Agency,AGENCY_DEC
EMCDDA,European Monitoring Centre for Drugs and Drug Addiction,AGENCY_DEC
ETF,European Training Foundation,AGENCY_DEC
FRA,European Union Agency for Fundamental Rights,AGENCY_DEC
EUISS,European Union Institute for Security Studies,AGENCY_CFSP
EUSC,European Union Satellite Centre,AGENCY_CFSP
EACEA,"Education, Audiovisual and Culture Executive Agency",AGENCY_EXEC
ERC,European Research Council Executive Agency,AGENCY_EXEC
REA,Research Executive Agency,AGENCY_EXEC
EURATOM,Euratom Supply Agency,AGENCY_EURATOM
FUSEN,Fusion for Energy Joint Undertaking,AGENCY_EURATOM
EIT,European Institute of Innovation and Technology,AGENCY_OTHER
EASO,European Asylum Support Office,AGENCY_DEC
EURAG,EU body or agency,CB_EU
PUBL,Publications Office,EU_INTERINSTSERV
MARE,Directorate-General for Maritime Affairs and Fisheries,DIR_GEN
ENER,Directorate-General for Energy,DIR_GEN
